iter	MultiClass
0	1.548003585
1	1.496043043
2	1.436368749
3	1.403244777
4	1.357917943
5	1.326452096
6	1.292990062
7	1.270544145
8	1.239785969
9	1.211339475
10	1.186406309
11	1.164154358
12	1.142206793
13	1.122881378
14	1.101625146
15	1.087872948
16	1.071854426
17	1.057369663
18	1.048805267
19	1.033380326
20	1.019550541
21	1.006474743
22	0.9954738662
23	0.9811850029
24	0.9675063826
25	0.9572839653
26	0.9457628037
27	0.9357723543
28	0.9239147821
29	0.9156936274
30	0.9045531909
31	0.8948033552
32	0.8848162009
33	0.8764995228
34	0.8660215579
35	0.8589185031
36	0.8508044934
37	0.8411394351
38	0.8348372434
39	0.8276761325
40	0.8185557353
41	0.8114408472
42	0.8033951187
43	0.796741345
44	0.7891798208
45	0.7811360531
46	0.773481059
47	0.7669196842
48	0.7630900812
49	0.7564829291
